company,job_title,seniority,employment_type,job_function,industry,location,posted_date
Fusion Plus Solutions Inc,Data Analysis,Entry level,Contract,Information Technology,Information Technology & Services,"Hyderabad, Telangana, India",2 weeks ago
DataZymes,Data Analyst - SAS/Tableau,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Bengaluru, Karnataka, India",1 month ago
Cynosure Corporate Solutions,Data Analyst,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Bengaluru, Karnataka, India",3 weeks ago
Qrata,Bussiness / Data Analyst,Associate,Full-time,Information Technology,Human Resources,"Bengaluru North, Karnataka, India",1 month ago
Kadel Labs,Data Analyst - Python/SQL,Entry level,Full-time,Information Technology,"Software Development, Technology, Information and Internet, and Data Infrastructure and Analytics","Udaipur, Rajasthan, India",2 weeks ago
Impetus,Data Analyst,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Software Development, and Computer Networking Products","Indore, Madhya Pradesh, India",1 week ago
Ipseity Group,Data Analyst,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Bhopal, Madhya Pradesh, India",2 weeks ago
Ensono,JR009059_Data Analyst,Entry level,Full-time,Information Technology,IT Services and IT Consulting,"Chennai, Tamil Nadu, India",1 week ago
Qrata,Data Analyst,Mid-Senior level,Full-time,Information Technology,Human Resources,"Delhi, Delhi, India",1 month ago
Deutsche Bank,Reference Data Analyst,Mid-Senior level,Full-time,Information Technology,Financial Services,"Bengaluru, Karnataka, India",4 weeks ago
Tiger Analytics,Analytics Consultant,Mid-Senior level,Full-time,Consulting and Project Management,Business Consulting and Services,"Chennai, Tamil Nadu, India",1 week ago
Alp Consulting Ltd.,Data Analyst,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Bengaluru, Karnataka, India",1 month ago
Squareboat,Data Analyst,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Gurgaon, Haryana, India",2 weeks ago
Meragi,Data Analyst,Associate,Full-time,Information Technology,"Technology, Information and Internet","Bengaluru North, Karnataka, India",3 weeks ago
Arm,Data Analyst/ Engineer -Jedox,Associate,Full-time,Information Technology,"Computer Hardware Manufacturing, Software Development, and Semiconductor Manufacturing","Bengaluru, Karnataka, India",2 weeks ago
Right Advisors Private Limited,Data Analyst,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Hyderabad, Telangana, India",1 month ago
Nihilent,Data Analyst,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Kolkata, West Bengal, India",1 month ago
Fusion Plus Solutions Inc,"Data Analyst, Python and SQL",Mid-Senior level,Full-time,Information Technology,Information Technology & Services,"Hyderabad, Telangana, India",2 weeks ago
LearningMate,Lead Data Analyst,Mid-Senior level,Full-time,Information Technology,"Technology, Information and Internet","Mumbai, Maharashtra, India",1 week ago
VBeyond Corporation,Data Analyst,Entry level,Full-time,Information Technology,"Software Development, Technology, Information and Media, and Data Infrastructure and Analytics","Mumbai, Maharashtra, India",1 month ago
Turing,Data Analyst,Entry level,Full-time,Information Technology,Software Development,India,1 day ago
Maruti Suzuki India Limited,Data Analyst - IAU,Entry level,Full-time,Information Technology,Motor Vehicle Manufacturing,"Gurgaon, Haryana, India",1 month ago
Kadel Labs,Data Analyst - SQL/Python,Entry level,Full-time,Information Technology,"Software Development, Technology, Information and Media, and Data Infrastructure and Analytics",Greater Jaipur Area,2 weeks ago
Syngenta,Hubbing and Master Data Service Analyst,Mid-Senior level,Full-time,Supply Chain,Chemical Manufacturing,"Pune, Maharashtra, India",4 days ago
MNR Solutions Pvt. Ltd.,Data Analyst,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Bengaluru, Karnataka, India",1 week ago
eTeam,Data Analyst,Entry level,Contract,Information Technology,Staffing and Recruiting,"Pune, Maharashtra, India",2 weeks ago
