company,job_title,seniority,employment_type,job_function,industry,location,posted_date,city,days
Ipseity Group,Data Analyst,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Bhopal, Madhya Pradesh, India",2 weeks ago,Bhopal,14
Ensono,JR009059_Data Analyst,Entry level,Full-time,Information Technology,IT Services and IT Consulting,"Chennai, Tamil Nadu, India",1 week ago,Chennai,7
Qrata,Data Analyst,Mid-Senior level,Full-time,Information Technology,Human Resources,"Delhi, Delhi, India",1 month ago,Delhi,30
Deutsche Bank,Reference Data Analyst,Mid-Senior level,Full-time,Information Technology,Financial Services,"Bengaluru, Karnataka, India",4 weeks ago,Bengaluru,28
Tiger Analytics,Analytics Consultant,Mid-Senior level,Full-time,Consulting and Project Management,Business Consulting and Services,"Chennai, Tamil Nadu, India",1 week ago,Chennai,7
Alp Consulting Ltd.,Data Analyst,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Bengaluru, Karnataka, India",1 month ago,Bengaluru,30
Squareboat,Data Analyst,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Gurgaon, Haryana, India",2 weeks ago,Gurgaon,14
Meragi,Data Analyst,Associate,Full-time,Information Technology,"Technology, Information and Internet","Bengaluru North, Karnataka, India",3 weeks ago,Bengaluru North,21
Arm,Data Analyst/ Engineer -Jedox,Associate,Full-time,Information Technology,"Computer Hardware Manufacturing, Software Development, and Semiconductor Manufacturing","Bengaluru, Karnataka, India",2 weeks ago,Bengaluru,14
Right Advisors Private Limited,Data Analyst,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Hyderabad, Telangana, India",1 month ago,Hyderabad,30
Nihilent,Data Analyst,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Kolkata, West Bengal, India",1 month ago,Kolkata,30
Fusion Plus Solutions Inc,"Data Analyst, Python and SQL",Mid-Senior level,Full-time,Information Technology,Information Technology & Services,"Hyderabad, Telangana, India",2 weeks ago,Hyderabad,14
LearningMate,Lead Data Analyst,Mid-Senior level,Full-time,Information Technology,"Technology, Information and Internet","Mumbai, Maharashtra, India",1 week ago,Mumbai,7
VBeyond Corporation,Data Analyst,Entry level,Full-time,Information Technology,"Software Development, Technology, Information and Media, and Data Infrastructure and Analytics","Mumbai, Maharashtra, India",1 month ago,Mumbai,30
Turing,Data Analyst,Entry level,Full-time,Information Technology,Software Development,India,1 day ago,,1
Maruti Suzuki India Limited,Data Analyst - IAU,Entry level,Full-time,Information Technology,Motor Vehicle Manufacturing,"Gurgaon, Haryana, India",1 month ago,Gurgaon,30
Kadel Labs,Data Analyst - SQL/Python,Entry level,Full-time,Information Technology,"Software Development, Technology, Information and Media, and Data Infrastructure and Analytics",Greater Jaipur Area,2 weeks ago,,14
Syngenta,Hubbing and Master Data Service Analyst,Mid-Senior level,Full-time,Supply Chain,Chemical Manufacturing,"Pune, Maharashtra, India",4 days ago,Pune,4
MNR Solutions Pvt. Ltd.,Data Analyst,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Bengaluru, Karnataka, India",1 week ago,Bengaluru,7
eTeam,Data Analyst,Entry level,Contract,Information Technology,Staffing and Recruiting,"Pune, Maharashtra, India",2 weeks ago,Pune,14
